recordIdentifier,rc,ticker,crncy,securityTyp,name,lastUpdateDt,idBbCompany,pricingSource,pxLast,chgPct1D,chgPct3D,chgPct5D,chgPct1M,chgPct3M,chgPct6M,chgPctYtd,chgPctMovAvg5D,chgPctMovAvg20D,chgPctMovAvg50D,chgPctMovAvg100D,waccNetOperProfit,eqyRawBeta6M,volatility10D,volatility30D,volatility180D,volatility360D,lqaLiquidationConfidence,lqaLiquidityScore,lqaMarketRiskFlag,bdvdNextProjAct,bdvdProjDivAmt,returnComEqy,retrnOnCommnEqtyAdjstd,returnOnInvCapital,waccTotalInvCapital,bestPeRatio,bestTargetPrice,degreeFinancialLeverage,degreeOperatingLeverage,ebitda,ebitdaToRevenue,currentEvToT12mEbitda,netIncome,cfNetInc,cfFreeCashFlow,freeCashFlowEquity,freeCashFlowMargin,salesRevTurn,operMargin,freeCashFlowPerSh,esgLinkedBonus,industryGroup,curMktCap,dvdPayoutRatio,effTaxRate,totDebtToTotAsset,totDebtToComEqy
BBG000B9XRY4,0,AAPL,USD,Common Stock,APPLE INC,2022-01-26,101695,US,159.690000,-0.056,-1.675,-3.934,-9.411,6.945,7.182,-10.069,-1.977,-7.363,-5.408,1.009,108949.00,1.192,14.479,25.772,22.046,29.859,49.840,100,true,MAINTAIN,0.22,147.44,147.09,46.26,212685.00,27.825,178.598,1.02,1.94,121933.00,33.33,20.95,94680.00,94680.00,92953.00,105618.00,25.41,365817.00,29.78,5.57,false,Computers,2608435.70,15.26,13.30,38.89,216.39
BBG000BB5006,0,ADBE,USD,Common Stock,ADOBE INC,2022-01-26,101689,US,500.810000,-0.380,0.180,-3.053,-12.080,-22.053,-19.328,-11.683,-1.791,-5.708,-15.604,-18.036,5802.00,1.615,35.827,46.450,31.998,33.036,49.704,95,true,,,34.37,34.27,27.73,18460.00,36.283,661.857,1.02,1.63,6709.00,42.50,35.04,4822.00,4822.00,6882.00,6882.00,43.60,15785.00,36.76,14.43,true,Software,236232.08,0.0,15.48,17.15,31.58
BBG000PX9P13,0,ADDYY,USD,ADR,ADIDAS AG-SPONSORED ADR,2022-01-26,180001,US,136.450000,0.545,-3.535,-5.315,-4.091,-15.922,-26.043,-5.243,-3.216,-4.904,-6.649,-11.958,2074.00,0.922,17.321,20.440,25.139,28.621,49.833,85,true,,,29.00,7.86,12.10,13786.00,27.789,128.000,1.28,-4.47,1996.00,10.06,,432.00,432.00,974.00,1894.00,4.91,19844.00,3.78,,false,Apparel,52424.09,140.00,25.39,27.98,91.26
BBG000C23KJ3,0,AES,USD,Common Stock,AES CORP,2022-01-26,101690,US,22.420000,1.128,-2.309,-2.818,-4.798,-11.628,-6.583,-7.737,-1.813,-4.047,-6.035,-6.738,2800.00,0.879,25.861,26.235,24.507,29.475,49.800,97,true,MAINTAIN,0.158,24.35,37.38,6.34,27765.00,14.118,29.773,1.70,,3632.00,37.60,9.55,46.00,46.00,855.00,1377.00,8.85,9660.00,26.17,1.29,true,Electric,14947.72,896.98,44.26,58.58,670.15
BBG00Y6G6X31,0,AI,USD,Common Stock,C3.AI INC-A,2022-01-26,69314473,US,23.460000,-2.128,-7.819,-12.463,-31.504,-48.507,-54.447,-24.928,-8.367,-19.258,-29.427,-41.664,-134.60,1.916,39.321,67.947,64.966,116.188,49.615,85,true,,,,,-21.28,1031.76,,51.444,,0.93,-52.17,-28.47,,-55.70,-55.70,-39.18,417.70,-21.39,183.22,-32.89,-0.59,,Software,2464.18,,,0.98,1.11
BBG000BBPFB9,0,AMAT,USD,Common Stock,APPLIED MATERIALS INC,2022-01-26,102032,US,135.580000,1.948,0.385,-5.235,-12.805,2.712,-2.094,-13.841,-1.691,-10.886,-10.626,-5.982,6889.00,1.906,77.445,57.358,39.567,43.994,49.543,97,true,INCREASE,0.26,51.59,53.97,36.98,16813.00,16.518,175.035,1.04,1.70,7362.00,31.92,16.40,5888.00,5888.00,4774.00,4774.00,20.70,23063.00,29.87,5.25,true,Semiconductors,120464.63,14.45,13.04,22.28,46.97
BBG000BVPV84,0,AMZN,USD,Common Stock,AMAZON.COM INC,2022-01-26,216952,US,2777.450000,-0.795,-2.643,-11.149,-18.821,-17.731,-24.930,-16.702,-5.547,-13.550,-17.715,-17.902,28318.00,1.275,35.572,30.574,25.317,28.510,49.755,97,true,,,25.83,27.41,11.14,250092.00,49.950,4121.979,1.08,1.53,53169.00,13.77,21.78,21331.00,21331.00,25924.00,29969.00,6.71,386064.00,5.93,51.85,false,Internet,1408577.16,0.0,11.84,31.29,107.60
BBG007FJMV58,0,ARKK,USD,ETP,ARK INNOVATION ETF,2022-01-26,42981241,US,69.030000,-2.500,-3.482,-8.871,-29.747,-42.575,-42.764,-27.022,-6.077,-18.141,-27.269,-34.802,,,47.393,50.742,36.770,40.928,49.632,100,true,CUT,0.000021,,,,,,,,,,,,,,,,,,,,,,11942.19,,,,
BBG000N8K8B4,0,ATRS,USD,Common Stock,ANTARES PHARMA INC,2022-01-26,196127,US,3.250000,-1.813,-0.612,-4.971,-8.708,-8.964,-26.304,-8.964,-3.043,-6.381,-4.580,-8.184,23.39,1.021,39.413,32.668,36.255,41.400,49.750,66,true,,,63.08,64.74,48.94,167.68,27.542,6.333,1.39,61.26,18.42,12.31,17.46,56.20,56.20,11.71,11.99,7.82,149.60,9.10,0.07,false,Pharmaceuticals,552.64,0.0,,22.08,39.39
BBG000R4Y9C1,0,AVLR,USD,Common Stock,AVALARA INC,2022-01-26,13059592,US,99.560000,0.060,1.148,-4.196,-25.551,-44.367,-41.019,-22.887,-2.589,-13.039,-24.220,-35.606,-98.94,1.587,74.746,58.795,42.117,46.839,49.504,82,true,,,-9.63,-6.29,-5.80,2061.47,,205.083,,,-30.50,-6.09,,-49.18,-49.18,33.96,39.70,6.78,500.57,-12.38,0.42,false,Software,8653.35,,,4.24,6.29
BBG006G2JVL2,0,BABA,USD,ADR,ALIBABA GROUP HOLDING-SP ADR,2022-01-26,16857643,US,113.370000,-4.843,-8.001,-11.249,-4.458,-33.308,-40.879,-4.563,-8.795,-9.201,-11.816,-21.924,101194.00,0.846,44.213,59.231,48.041,45.423,49.557,99,true,,,13.67,8.94,5.00,1282696.00,13.030,191.549,1.05,,144399.00,20.13,9.79,150578.00,150578.00,188601.00,219520.00,26.29,717289.00,12.50,69.80,false,Internet,307336.28,0.0,17.68,10.73,19.35
BBG000C9KL89,0,BAM,USD,Common Stock,BROOKFIELD ASSET MANAGE-CL A,2022-01-26,239643,US,52.730000,-2.080,-1.236,-4.110,-12.029,-13.924,4.024,-12.670,-2.612,-8.441,-9.100,-8.601,10894.00,1.283,20.233,28.296,25.225,28.732,49.793,98,true,MAINTAIN,0.13,9.83,2.78,3.13,308071.00,16.624,66.560,4.19,-0.86,15265.00,24.33,19.05,-134.00,-134.00,4329.00,8671.00,6.90,62752.00,15.10,2.86,false,Private Equity,82669.36,,54.21,46.65,505.86
BBG000SN4NJ3,0,BDORY,USD,ADR,BANCO DO BRASIL SA-SPON ADR,2022-01-26,159760,US,5.800000,-2.192,1.567,0.870,12.994,9.434,-6.752,12.621,0.658,8.537,6.993,6.358,37366.69,0.332,33.302,29.380,36.971,39.436,49.802,68,true,,,13.28,11.11,3.28,376299.93,4.349,,,,,,,12697.39,12697.39,158444.21,145678.80,176.25,156375.29,12.37,,false,Banks,16619.42,33.05,,46.75,647.64
BBG005NJY3N2,0,CBAY,USD,Common Stock,CYMABAY THERAPEUTICS INC,2022-01-26,37669267,US,2.860000,-2.721,-1.038,-2.389,-18.519,-24.934,-28.500,-15.385,-1.651,-10.134,-16.947,-22.740,-79.47,0.648,53.840,61.441,52.351,54.120,49.564,49,true,,,-65.00,-31.33,-63.99,88.45,,11.556,,,-51.97,,,-50.99,-50.99,-44.75,-44.75,,0.0,,-0.65,false,Biotechnology,242.15,,,1.13,1.22
BBG000BN2DC2,0,CRM,USD,Common Stock,SALESFORCE.COM INC,2022-01-26,1084605,US,211.000000,-2.038,-3.490,-6.749,-16.647,-28.501,-14.782,-16.972,-4.634,-10.265,-18.359,-21.740,917.00,1.524,32.457,37.604,31.529,37.945,49.683,97,true,,,3.57,9.27,1.47,71392.00,51.065,327.250,1.38,2.19,4509.00,21.22,39.67,4072.00,4072.00,4091.00,5118.00,19.25,21252.00,2.14,4.51,false,Software,207835.00,0.0,,9.67,15.45
BBG00YPGPCF2,0,CSAN,USD,ADR,COSAN SA -ADR,2022-01-26,9138536,US,16.420000,2.114,2.305,1.358,11.096,11.021,-20.484,4.786,1.975,8.069,7.555,3.885,3690.51,0.605,40.470,43.531,41.199,45.691,49.623,59,true,,,44.04,8.03,6.42,76030.58,72.119,18.950,1.81,-69.45,2453.60,18.16,,851.86,851.86,1101.43,782.05,8.15,13508.79,13.55,,false,Oil&Gas,7693.06,23.75,22.10,43.36,142.95
BBG000J0NWV8,0,CZMWY,USD,ADR,CARL ZEISS MEDIT-UNSPON ADR,2022-01-26,815796,US,156.950000,1.665,-2.871,-2.856,-23.383,-22.012,-29.046,-25.967,-0.922,-15.380,-19.285,-22.547,373.61,0.878,53.912,49.807,46.605,44.987,49.588,36,true,,,15.29,15.58,15.00,1926.22,,,1.02,4.74,435.20,26.43,,236.28,236.28,332.54,315.64,20.19,1646.79,22.69,,false,Healthcare-Products,14037.70,34.07,29.95,10.55,15.23
BBG00MVW5W00,0,DAX,USD,ETP,GLOBAL X DAX GERMANY ETF,2022-01-26,62120007,US,30.960100,0.503,-1.464,-3.436,-4.210,-6.394,-7.334,-4.252,-1.506,-3.889,-3.621,-4.748,,0.669,13.494,14.187,14.631,18.323,49.886,93,true,INCREASE,0.834309,,,,,,,,,,,,,,,,,,,,,,38.08,,,,
BBG000Q09FR8,0,DBOEY,USD,ADR,DEUTSCHE BOERSE AG-UNSPN ADR,2022-01-26,304968,US,17.330000,-1.366,-5.559,-2.968,5.414,3.401,1.227,4.335,-3.936,1.088,5.111,3.994,1620.90,0.382,30.594,20.130,18.593,21.403,49.832,76,true,,,18.23,19.75,,7265.90,,,1.03,1.09,1850.80,58.32,,1079.90,1079.90,1350.90,1646.10,42.57,3173.30,50.00,,true,Diversified Finan Serv,32927.00,50.98,26.38,2.31,57.16
BBG000N7KJX8,0,DOCU,USD,Common Stock,DOCUSIGN INC,2022-01-26,16546910,US,114.330000,-2.946,-1.550,-9.969,-27.183,-59.252,-62.609,-24.936,-5.853,-17.156,-34.084,-48.599,-61.47,1.852,56.751,54.735,81.578,72.174,49.577,91,true,,,-33.64,-48.23,-7.17,1141.37,56.154,201.556,,0.21,-68.73,-4.73,811.73,-243.27,-243.27,214.56,473.88,14.77,1453.05,-11.96,1.16,false,Software,22623.22,,,39.19,281.13
BBG00KLHY7D7,0,DRIV,USD,ETP,GLOBAL X AUTONOMOUS&ELEC-ETF,2022-01-26,60082418,US,27.600000,0.145,-2.577,-6.788,-8.891,-6.294,-1.480,-9.597,-3.348,-8.737,-9.368,-6.976,,1.045,19.326,25.612,20.381,23.659,49.829,98,true,,,,,,,,,,,,,,,,,,,,,,,,1350.74,,,,
